"Date","Title","Rating","Content","Source"
2014-10-14,"DISHONEST AIRLINES WITH NO CARE AND RESPECT FOR ELDERLY PASSENGERS",2,"I booked Singapore Airlines for my parents from New Delhi to Sydney and also asked for Assistance. The ground assistance in staff told them that their flight was delayed so the next connecting flight to Sydney has already left. Their only option is to board the next flight to Bali and then to Sydney. I called Singapore Airlines office and explained them that my father has a medical condition so please try to adjust him to next direct flight to Sydney rather than sending to Bali. The customer service rep put me on a long wait and then came back with an explanation that flight was not delayed as confirmed by staff in Delhi. I then asked him to explain why Ground Assistance staff then told my parents and 2 other old ladies about missing the connecting flight. Also, why were they given a food voucher? He simply disconnected me. I think that Singapore to Sydney flight was fully booked out so they tricked the old passengers by lying to them and letting them take alternate longer routes. Upon reaching Bali, the Ground staff asked my parents to apply for a VISA. Thank God I gave my father a roaming SIM. I had to spend so much time to explain them that they are not going out but flying to Sydney. The staff had no clue why they even arrived in BALI. What a SHAMEFUL ACT FROM SINGAPORE AIRLINES. EPIC FAIL...","Product Review"
2014-10-11,"Excellent Service and Friendly Staff",10,"I travelled by Singapore Airline for many times, especially when i was pregnant, or travelling with my kids. They provide with considerate serives for mum and kids. They usually take care of my baby when i was in the bathroom, They reheat my meal cause i was feeding my baby at eating time. Unfortunately, the price is too expensive for a big family with 3 kids to afford, we had to change to other airlines, but never Quantas which treat different passengers in different way!","Product Review"
2014-08-16,"One of the best airlines - Singapore Air!!!",10,"I've been flying with Singapore Airlines since 2007 (SYD-SIN-MNL). I can't find any faults with this airline. The seats were comfortable and spacious specially on the SYD-SIN flight they use A380 which has a huge monitor with a wide range of entertainment choices from games, music, documentary, tv shows, movies and international films. The service is great with unlimited drinks - coffee, tea, juice, soda, cocktails, wine and spirits. Food is also tasty and satisfying. Upon arriving in Changi Airport, the aiport itself is very huge and clean, there were a lot of activities to do which makes the lay over not so boring, there's a wide range of shopping areas/duty free, garden, pond, butterfly garden, entertainment, restaurants and lounges. On December 07, 2013 me and my friend were upgraded to Business Class seats due to the airline being fully booked. Since we were a KrisFlyer Member they gave us the best seats on the SIN-MNL bound flight. It was an amazing experience (it was our first time on a business class seats!) The food is even better served on a 3 course meal, senior flight steward/stewardess were assisting the passengers on the business class and were very attentive of our needs. Upon take-off we can't even hear the planes engine roaring or can't even feel the plane ascending. Overall Singapore Airlines is one of the best airlines!","Product Review"
2014-08-15,"Singapore Airlines... If you have the chance, go Qatar or even Qantas",2,"Please, first, allow me to establish a baseline to be fair: I traveled long distances, over 10 hours trips, and through Business class on all companies I will mention about here. I will start from the most important message, based on my experience and opinion, if you can, avoid Singapore Airlines Business. There are a plenty of other companies willing to give you more by the same price. 1st - the airplanes are old, pretty old (all of them). I got 4 different Singapore flights before to publish this. 2nd - Believe or not but not all Singapore Business seats completely recline (180 degrees). 3rd - The cabin crew is not really polite and attentive. 4th - the food options are minimum. I never thought, before Singapore experiences, that I would leave a business class flight with severe Back Pain and hungry. Yes, Hungry - there were only 3 options of food at Business and for my lucky, I didn't like any of them. To me, comparing orange with oranges, Qatar is currently the Best Air Company in the World. I could expend lines and lines writing about the amazing brand new airplanes, immaculate on board service and food. Qantas was not bad too. I would recommend, based on my experience, Qatar (1st), Qantas (2nd) and Singapore (if you really do not have other option).","Product Review"
2014-07-30,"Not as good as they used to be",6,"Flying from Sydney to London was not as good as we had experienced a few years ago. We had expected that as we had booked two seats for the kids that they would automatically provide us with kids meals. But no, got adult meals instead. There was not enough appropriate kids shows and the food was average. The cabin crew were not as attentive as last time, maybe as the flight was full. On the positive side, its the shortest travel time between Sydney and London. Was given a privilege pass at Sydney which was great for the kids not queuing up for too long. The planes were all reasonably clean.","Product Review"
2014-06-20,"SIA stewardess are definitely overrated!!!",6,"I normally take china airlines for my monthly flight from Surabaya to Singapore but decided to give it a try n choose SIA as most people referred them as a quality airlines. I found that the departure time is nice but the return time is way too early in the morning so my travel agent adviced me to use SIA sister company, Silk Air for the return. Expecting something special as im paying more money, i didnt find anything special except the extra amenities. The so called Singapore Ladies/stewardess that are heavily advertised on Media are nothing special. I would fare them as overrated so dont be fooled by the apperance from the advertisements, how cute n caring they are. Overall, i wouldnt suggest to everyone who think they pay more n likely to get more, dont bet all your money . Please prepare to be disappointed.","Product Review"
2014-04-22,"Economy seats like sitting on a board!",4,"Recently my 17 yr old and I took a trip from Sydney to Singapore on Singapore Airlines. Without a doubt the hardest seats we've ever sat on. They have revamped the business class seating but the economy seats are awful. We were both actually hurting by the time we got off the plane and felt bruised all day!","Product Review"
2014-04-09,"Just about perfect",10,"Flew Melbourne - Saigon via Singapore and back with Singapore Air. All four flights departed and arrived within 10 minutes of schedule, the cabin crew couldn't have been any better, the food was better than standard airline fare and more plentiful, luggage was handled perfectly and the airport staff were ruthlessly efficient while at the same time friendly and courteous. A very positive experience, full marks to the company.","Product Review"
2014-03-28,"Worst Customer Service",2,"My friend left his laptop at Sydney Airport in December. He rang Singapore immediately and informed them. 2 months later they found it and sent him an email which he forwarded to me to pick up. I rang Singapore's handling Agent Toll Dnata on several occasions and left messages and emails which they never returned. A week later when they answered the phone I gave them the details and they said they had it and to come pick it up. I went to international airport on the same day and after half an hour they could not find it but the manager took my name and number and told me he would call me back later that day. Never heard from him again. Three days later on a Monday I emailed both Singapore Airlines and Toll Dnata explaining my situation. Singapore rang me a few hours later and gave me a ridiculous excuse that the laptop had been sitting for too many months. Wrong, I have their first email sent to my friend and that was end of February. The lady told me her supervisor only had the key to the cabinet and when she is in tomorrow she will call me. The next day she rang me to pick it up and told me to bring the emails with me. and I went. Upon arrival I had to show my licence and also forwarded the emails form my friend requesting me to pick up and original Singapore emails to the lady at Sydney International Airport Singapore Offices on Level 3. After all that she then told me that she would not release the laptop to me because I do not have a printed authorisation paper. I emailed Singapore through their website complaining about this runaround and continual misinformation provided by Singapore which has caused me to take 2 days off work at financial loss to myself and then pay for parking at the airport only to get no where by following exactly what Singapore told me. I still have not heard anything back from Singapore and it has been almost a week.","Product Review"
2014-03-04,"Would have been perfect if cabin crew weren't tired",8,"I travelled from Hong Kong to Singapore on SQ865 on 3 February 2014. Cabin crew was tired, grumpy after their turn-around trip from Singapore to Hong Kong. Cabin crew was reluctant to give me a glass of water after asking for one. Never mind that, I think pervasive racism occurred. As most passengers were from Hong Kong, I notice the lack of smiles and good will that is usually Singapore Airlines. Most cabin members were rather brusque! My connecting flight from Singapore to Perth (SQ 225) on the same night was what Singapore Airlines has always been - simply, a great way to fly. Cabin crew were friendly, willing to help. During that red-eye flight a thoughtful cabin member used his mobile phone to shine on the drinks tray in a darken cabin interior. I thought it was simply marvellous how such simple things make flying a joy.","Product Review"
2014-02-10,"Excllent service, food, entertaimment",10,"Flew Bris-Singapore/return with this airline in Jan 14 and they were fantastic. Its a shame a Aussie airlines (VA) were not as classy as this airline. Virgin Australia are an embarrassment compared to Singapore Airlines. Flight Crew unbelievable, Food excellent, Aircraft great, great service, friendly, welcoming, accommodating your needs, nothing a problem. Highly recommend.","Product Review"
2014-01-24,"Always excellent",10,"Comfortable, decent food and great service. Nothing is ever too much trouble. The staff take enormous pride in their work and are brilliant when it comes to managing difficult passengers. It's my airline of choice: Qantas, British Airways and Luftansa could learn a few things from these guys. Great on-board entertainment. In all, pricey but still good value for money.","Product Review"
2014-01-21,"Rip Off Australian Travellers",6,"I suppose my biggest gripe with Singapore Airlines is the way that the same return flight PER-SIN-PER costs double what you pay if you book it from their end SIN-PER-SIN. To get around this we booked only the first flight that way, with return in a year, then booked all our intervening flights as ex-Singapore. If you don't fly for a while they cancel your frequent flyer and all your points simply disappear. Food in Business Class is ok, economy class was pretty bad. Business Class lounges in Singapore are not so great if you don't like Singaporean cuisine. Airline is VERY ""Singaporean."" You are expected to do what you're told, when they tell you, and not object or create exceptions.","Product Review"
2014-01-16,"Constant Scheduling and flight problems",2,"Not sure what is going on. All my flights with SIA (4 of them) have had to have schedule changes. One waiting 2 hours in Singapore, another in Australia cancelled at the time it was supposed to take off, leaving 200 or so passengers wondering how to get transfers etc. This was once a great airline it now seems to be struggling to run a fleet","Product Review"
2014-01-07,"Well Done Singapore Airlines",10,"My 60yo mother was travelling between Brisbane and Bangalore last October due to a family emergency. She was intimidated by the fact that there was a stopover at the huge and crowded Changi International airport for 4.5hrs before she had her next leg of flight. We were worried for her till she reached Singapore but on reaching advised that the SA staff were so caring and attentive to her needs that they had organized ground staff to transfer her to the next gate for the next flight to Bangalore on arrival at Changi. This was done despite us not booking a wheelchair assistance. Prior to that the ground staff at the Brisbane International Airport were very kind & generous in their allowances. Do not want to expand too much on that!! Thank you so much Singapore Airlines for making my mother's journey safe and comfortable!! :-)","Product Review"
2013-12-30,"Excellent Service",10,"Myself and my wife always travel with Singapore Airlines. We feel safe in the knowledge that the service is always excellent and the quality of the aircraft are very well maintained and the air crew are very professional.Meals are excellent and on board entertainment is enjoyable. Seat width is much better than other airlines.","Product Review"
2013-11-06,"Comfortable flight to Asia",8,"I traveled to Singapore last year with my husband and had a straight forward and comfortable flight. I found there was adequate entertainment, the food wasn't the best, but it was Asian themed and it is plane food. Transfers were straightforward and our bags were at out destination without issues. Flew in June 13.","Product Review"
2013-10-29,"Quite disappointing",2,"I went on Singapore Airlines last year and the experience was totally horrible! During the time of check-in, we had a problem with the number of baggage allowed in and they told us that we can only have 1 bag each on the plane but the kg can be the same. After a long argument with the manager, they didn't give in to us and therefore we had to take some stuff. On the plane, they were so stingy with the drinks and only gave us half a cup of coke or juice when we asked them! The food wasn't very nice either, it was all soggy and mushy. I also got a stomach pain a few days when i came back from my holiday. What a horrible experience that is!","Product Review"
2013-10-03,"Great service, price, aircraft",10,"I have flown several times with Singapore airlines, and have never been disappointed, great service, aircraft, lounge rooms, experienced pilots, great outfits for the air hostess that look professional. I would recommend them to anyone wishing to fly somewhere, they have many destinations to choose from at great prices, worlds best !!)","Product Review"
2013-08-28,"Best experience",10,"When it comes to ultimate professionalism and value, nothing beats Singapore Airlines, although I've heard that Emirates is probably better. Entertainment is personalized on long haul routes and service during flights is next to none. If for no other reason to fly with Singapore Airlines, Changi Airport is a great experience all by itself and an exciting stopover.","Product Review"
2013-08-15,"Best airline to fly with",10,"Had to write this because I am so happy about Singapore airlines. The service was amazing and did not have to wait for anything. But most of all the honesty. I left my phone and wallet on the plane and I get a call this morning, one of the cleaners have handed it in with all my money still there. Thanks to that cleaner you are a life saver. I would recommend Singapore airlines to any body.","Product Review"
2013-08-12,"Worse flight I have ever had!",2,"We were about to take off and then got told a passenger was getting off so after a 2 hour wait and no offer of a drink or being able to use the entertainment screen, we finally took off! Our trip to Singapore the week before was great, All the flight crew were professional and lovely and service was excellent! .However this trip home started bad and continued, service from the staff was zero I had to ask for a drink after 3.5 hrs, we were bypassed when the meals were being served and a very rude hostess didn't care when we questioned this. A male staff member realised the situation and was professional and tried to make amends for the rude girl, even telling her so! It was freezing cold and uncomfortable, the staff was so inexperienced and rude and could not cope with the large amount of passengers, toilets were inadequate in numbers as there was a constant line up for 9 hours. They also did not have enough meals for passengers! I will never fly Singapore again...back to thai airlines they are fantastic!!","Product Review"
2013-07-27,"Not up to high expectations",6,"Flew Singapore to Perth after a flight in which their associated airline SilkAir mislaid two of our bags after a simple short haul flight Koh Samui to Changi airport, Singapore. Plane was on the old side and our entertainment systems didn't work. Service was ok, but I had much higher expecations after hearing from friends about how good the airline was. Arriving at Perth to find one of the wheels on our new luggage damaged beyond repair. Will stay with Qantas, Emirates or similar from now on.","Product Review"
2013-07-06,"Extremely helpfull.",10,"6 weeks ago (around May 2) my mother and sister were travelling to Japan. On the day of travel we found that my mothers' passport had expired by some months and we set about getting an urgent replacement. My sister was at Tullamarine awaiting whether mums passport would come through in time which unfortunately it didn't. Singapore Airlines' Tullamarine staff however were extremely helpful in re-booking onto the next available flight, no fuss and no additional cost. This was most welcome given the agitated and uncertain state my mother and sister were in. Thankyou to your staff and organisation again - please pass on my gratitude.","Product Review"
2013-06-05,"Appalling service and will look for another airline!",2,"Just came back from an excellent Asian holiday that was ruined by appalling customer service from Singapore Airlines. They have an option called the 'Prefered Seating Option' to allow passangers to choose their desired seat at an additional fee. I was taken aback at the fact that they make you pay to choose your seat when other asian carriers don't charge a cent to pick your seat during check in! It was like some budget airline! I had no choice as I had read many reviews regarding the poor seats on this airline so I paid and booked an aisle seat using their shocking website. On the day of departure, I went to check in and was given my ticket by some rude and tired ground staff. The seat on the ticket didn't correlate to the seat I had booked. I was dumped in a seat right up on the window towards the end of the plane. I approached the staff very nicely about this issue but they gave me a sigh and told me I should have checked in earlier then they could have sorted this out! Unbelievable! Yes I had arrived at the airport a little later than I normally do as I had paid for the seat that I wanted so there was no need for me to rush! The staff made this issue my problem when their system is a total mess! They didn't bother listening and I ended up on some of the most uncomfortable flights I have experienced in my years of flying. Why call it the ""prefered seating option"" if they won't even deliver it? Just another way of scamming passengers... I recommend against this airline and their so called ""Prefered Seating"" option and if you are going to use it, then be very careful about it as you will lose money!","Product Review"
2013-05-25,"Customer service varies",8,"I have been using Singapore airlines for a while for my international travels. Not had any major problems as yet. Reason I gave only 4 stars is because of the customer service. Generally it is excellent. But, sometimes really hard to contact them on phone etc. I have found they are not really helpful over phone. Don't really seem to care. On board, they provide good service though. Can be expensive. Overall good experience. Would recommend to a friend.","Product Review"
2013-05-15,"Non existent customer service",2,"We booked a flight to India to pick up our baby daughter, she was booked on the plane but no eticket was issued. We tried contacting offices in Dehli and Singapore and were told different stories of requirements and using the central customer service number is impossible. My girlfriend gave up waiting on hold twice and it took me 40 minutes before anyone answered to only be told they couldn't help me. I finaly found a helpful member of staff when I landed at Melbourne airport to purchase her a whole new ticket","Product Review"
2013-05-12,"Perfect for me",8,"I always fly with Singapore Airlines.i fly with them 3 times a year . Other members of my family use the same Airline . Their Planes are good . I like their A380 very much. Their service excellent. Food v good . I have no complaints . I can only say good for Singapore Airlines . Only Singapore Airlines for me.","Product Review"
2013-05-09,"Never fly with Singapore airlines with KIDS!",2,"Hi I traveled with my family (my wife, 7yr and 11months), Before my travel date, I called Singapore airlines few times to confirm my seats are bassinet seat for the kid from Melbourne -> Singapore. The agent told me everything confirmed and even given me seat numbers.  When I went to airport on travel day i got a shock!. My tickets are NOT bassinet seats and it's regular seats. After speaking with entire Singapore airlines staff (I was keep on pointing to different person!!) I got a bassinet seat for only me. My son was sitting in different place. After landed in Singapore I again complaint about it and confirmed my return ticket. She said everything fine. Again while coming I had same shock!! this time there NO bassinet seat and our entire family was sitting in regular seat. Most horrible experience I ever had in my 15years of my travel. After coming back I sent a email to Singapore airlines and got a following funny reply ""I would like to share that our investigations show that a technical glitch had been present in our Reservations system. On this occasion, while passengers were able to select the seat at the point of booking, the glitch allowed for other passengers to select bassinet points as well even though they had been taken up. As such, the bassinet seat was on a pending basis and had not been confirmed eventually. I understand that you had approached our ground staff in Singapore for their assistance in confirming your bassinet seat requests. I note that our staff had affirmed that the bassinet seats were confirmed. However, your return flight on SQ217, the seat was on a pending basis as well. Furthermore, please be assured that our IT department is aware of the glitch and they are working closely with our vendors to rectify the defect. As a gesture of our goodwill for the disappointment caused on this occasion, I would like to present you and your family with a transportation voucher for AUD100 each."" Since I am not planning to travel again in near future I requested to send the voucher as check/cheque. I more than 10 emails no reply from anyone from Singapore airlines.","Product Review"
2013-05-06,"Very impressed with the cabin service and the A380.",10,"We had a family trip to India via Singapore with 7 flight sectors in April 2013. The service from Singapore Airlines was excellent. I am surprised by some of the preceding trivial complaints; people forget that the main purpose of the cabin crew is to ensure the safety of those onboard they are not waiters and waitresses although they do this very well also. I noted that the cabin crew were very particular with checking seat belts, baggage on the floor, window shades and seat backs. The A380 was impressive and surprisingly quiet. The seat pitch was as good as any other economy seat on other airlines. The 777 was a bit noisier but no more so than other airlines 777s. The food was great and we found tasty choices on each sector. The entertainment system was great with a huge choice of movies, TV, games, flight watch etc. Our kids were very well looked after with small size headsets and free gifts with games and colouring in pencils. We were very lucky to have smooth flights even with thunderstorms and lightning visible at times. No wonder they are rated the #3 Airline in the world 2012.","Product Review"
2013-05-03,"Good airline - Old Aircrafts",6,"I had a family trip to India via Singapore with a 4 year old daughter and 1 year old twin boys recently in Feb 2013. I find the service good and they looked after us really well. I had booked the tickets through an agent however I had no issues confirming bassienet seats online for all the travel legs. Onboard the flight attendants catered well. We had pre-requested meals so the food was good and edible. They also provided milk for boys when at one instance they refused to drink formula. Ground staff at Sydney was very help too. The only problem is that their aircrafts are really old, seats uncomfortable and entertainment unites sometmes do not work. Their aircraft is very untidy too and especially the remote control seems like it was never wiped once installed. During turbulance the aircraft rattled very badly on the inside that i once felt it is literally going to split open. I would have rated this review good if their aircrafts were much cleaner and seats more comfortable","Product Review"
2013-04-12,"Bullied by Singapore Airline Ground Staff",2,"We were 3 adult passengers and an infant travelling from Bangalore to Brisbane via Singapore. We were carrying with us 3 pieces of handbags and an extra bag with infants food, filtered & bolied water as the infant had issues with water in her Singapore Airlines flights earlier in the month which made her sick for a week, change of clothes her napkins etc.. So, in total, we had 4 bags for the 4 passengers. We passed the security without any problems but were stopped and advised by one of SIA ground staff (Mr. [name removed] is what he was referred to by the other staff) that we could not take the extra bag for the infant and we could carry only 2 pieces of hand luggage on the flight as cabin luggage for the 4 passengers. The infant handbag consisting all the infant's meals and other requirements needed to be checked-in as also will my handbag as they do not allow infant any hand baggage allowance. The ground staff hurried us up and was tagging the 2 baggages to be sent along with the check-in luggages while I was still protesting. It was only upon my mother's repeated pleading to the staff that they considered letting the infant's bag in. The flight wasnt even full and had many seats vacant so space wasnt the issue. We have requested SIA for an explanation of this behaviour by their ground staff but havent received any response from them. International Airlines like SIA can have their way these days as there are no channels to escalate these issues to in most countries including Australia. I have been flying SIA for the last 13 years and will now consider other airlines and so will my family and friends.","Product Review"
2013-04-11,"Great friendly staff, hassle free check in",10,"Great staff who are very friendly and helpful. Have flown the last 5 - 6 times and everytime it has been a great experience. Kicking myself for going with Emirates this last time and getting nothing but trouble. I recommend them to all my friends and family and no complaints so far.","Product Review"
2013-04-03,"Unfriendly Staff,Old aircrafts",2,"The staff don't pay attention to your needs, had to ask for a glass of water 3 times before I got one. Also aircrafts are like decades old and feels like they may break in pieces. certainly won't recommend to anyone, there was a stopover at Colombo airpart so took two flights, both planes felt like they were going to fall apart,","Product Review"
2013-03-18,"Worst long-haul flight ever",2,"Flew from Singapore to Frankfurt on board an absolutely ancient Boeing 777 which was not just old (that I can cope with) but which was filthy dirty. The carpets are shabby, there are dirty marks everywhere and it just feelsl ike it hasn't been cleaned for years. For a 13-hour flight this makes you wonder if it is so terrible on the surface, what the quality is like of the aircraft below the surface. We had terrible turbulence across India, the Stans and, in fact, for around 8 hours of the 13-hour flight. Yet, it felt like the plane was flying on autopilot with the pilots asleep as they did not give us any information the whole flight - not about the route, the weather, why it was so bumpy, and they certainly didn't try to shift altitude (we were just at 9,700 meters) during the turbulence to make it more comfortable for passengers. To make matters worse, the crew are absolutely unfriendly with very poor English. I had a sick stomach and needed something to settle it - as I was vomiting for half of hte flight ... all they could offer me was water with lemon, hot chocolate or Rennie's, nothing else ... even the water came back up. During the worst of the turbulence, I felt like the plane was going to break in half - such an old vintage machine should not be allowed to fly such long flights. All in all, I would never fly with Singapore Airlines again - they are completely overrated regarding their service and standards. I did not feel safe or comfortable the entire flight and just wanted to get off the plane. Better to fly with Lufthansa's new and professional crew on the A380 on this route. Just watch though as they can codeshare sometimes with Singapore Airlines and I wouldn't wish this flight with SIA on anyone else. To top it all off, the crew dance around in Asian style flowery costumes but they are so unfriendly compared to other Asian airlines and their English is horrific. They keep coming around with hot towels etc but I'd prefer less time spent on these stupid superficial details and a better aircraft and a more safe and relaxing flight. And to make matters even worse, if you have an 8-hour stopover in Singapore, the business (i.e. Gold class) lounge just sucks ... there is no quiet relax area, the toilet is 200 meters outside the lounge, there are no showers and the food choice is terrible. . Never again!","Product Review"
2013-02-19,"Booking nightmare",4,"Having booked a flight for our Sales Manager and paid using my Amex card all on line i was happy with the service. I went to do exactly the same thing a week later and was told i would have to take my credit crad to the nearest Singapore Airline office for verification before he would be allowed to fly. When i questioned this i was told that was the way it was. So i said i wanted to cancel the flight and we would book via Emirates. He said it was a non rewfundable airfare and my card would be charged! I said how come you can charge my card when i want to cancel, but you cant use my card to pay for the flight. After 45 minutes on the phone he agreed to let me email him the form with ID. He could have suggested that in 5 minutes and saved us all a lot of time. I have since had another two call to them each nearly half an hour. I have never had these problems with Qantas or Emirates and will give them preference next time.","Product Review"
2013-02-17,"Children in Business Class",8,"The Crew were fantastic. Unfortunately I had a horror flight from London to Singapore due to a family consisting of two adults and three young children who did not settle down until a couple of hours out of Singapore causing myself and others, in Business Class, sleep deprivation. Children should be excluded from Business Class as passengers pay a lot of money to travel in this fashion, expecting to be able to sleep on the long haul.","Product Review"
2013-02-11,"Manchester Perth via Munich and Singapore",4,"The outgoing flight had all passengers getting off the plane at Munich with all their hand luggage. This proved very difficult and inconvenient for people with small children. The return journey was hampered at Munich by plane having to be de-iced before take off. After such a long journey this was the last thing we needed. I could not recommend the Manchester to Perth flight with Singapore Airlines.","Product Review"
2013-02-11,"Got hit by food cart",2,"I had an accident on board. The stewardess hit me with the food cart. I really got hurt. They then gave me an ice pack and then wrote an incident report, gave me a copy, but took it away again. Now say that the accident never happened. I would make it all up and might have hit my knee somewhere else. They say very much that I a a bit stupid. This is unbelievable, I am taking them to court now and then make sure my story goes around. They also told me that I should have been happy that they took me to the hospital (where they identified a clear line and confirmed to be hit by a sharp corner)... if I were not a Westerner, they would do nothing.","Product Review"
2013-01-09,"Poor Service",2,"Traveled Sydney to London, seats very uncomfortable. Two items on menu for breakfast and they ran out of one before getting to us. Tried to upgrade for return journey & found staff to be unhelpful and uninterested so lost our money to them and flew back with another airline in comfort.","Product Review"
2012-11-06,"Excellent",10,"I travelled business class to UK in June 2012 with Singapore Airlines, I was travelling alone and having arthritis there were many things the staff assisted me with which I simply could not have managed on my own - assistance with luggage and practical assistance on the plane. They were attentive and bright in both directions. Airport lounges were excellent though at heathrow there was a different lounge being used temporarily due to some maintenance or something, ok but not up to the same standard as the other lounges. Lounge in Singapore provided an excellent selection of food and service - offerings varied according to the time of day. Flight was expensive but it was a last minute booking due to a family emergency. We have booked to fly business class next year 2013 which was quite a bit cheaper booking early. Highly recommend the A380 and the Singapore configuration was very comfortable. Have travelled previously with Singapore Airlines in Economy and the service then was excellent. Would highly recommend both classes of travel with Singapore Airlines but if you can afford business class it is certainly a very enjoyable experience.","Product Review"
2012-10-03,"Fantastic BUT...",8,"Cheers to Singapore Airlines, my elderly mother and I have just completed a UK to Perth flight and I am so happy with our economy flights both to and from the UK, BUT not the airlines fault but from the start at Heathrow airport three small children screamed non stop to Singapore, then two of the three boarded from Singapore to Perth, even when we were trying to sleep you could hear the screaming, all passengers were deeply affected by this problem, what is the answer, it has turned me off any future long flights, I am a mother of three children and therefore do sympathise, but it was a nightmare that we are still trying to recover from, after a fantastic three weeks the last 22 hours were miserable, I am sure most of the other passengers and staff would also have a comment. Terri.","Product Review"
2012-09-03,"Accident on Singapore Airlines being wiped under the carpet... be careful !!!",2,"I was on my flight from Brisbane to Singapore when the stewardess hit me with the foodcart, I was sick for about 6 months.... Singapore Airlines gave me an incident report, but then took it back again. Now Singapore Airline is denying the accident... I am taking them to court now. From now on I am flying Korean Air...","Product Review"
2012-09-03,"Not getting gold status with Star alliance for this year and next year because of Singapore Airline",2,"Singapore website failure and they won't accept their responsability....Book a ''Y'' class for accumlation and get a non accumulating class on their side. Miss your Star Alliance gold status for this year and the Next year....very nice... In September 2011, My mother made a booking for a flight from Singapore to Maldives with Singapore Airline. Before booking her ticket, Mr. xxx (assistant) call to ensure if she wouldâ€™ve book this ticket, it wouldâ€™ve been an eligible fare with Singapore Airlines to earn frequent flyers miles. The agent confirmed that this type of ticket wouldâ€™ve been eligible. The Passenger booked the ticket along with The accompanist. Before paying the ticket, an option offering the passenger to view the reservation by sending an e-mail is offered. On this confirmation, we could see the â€˜â€™Yâ€™â€™ booking class (eligible class for earning miles with Aeroplan and star alliance members). The Passenger then went ahead with the payment for final confirmation of the ticket. The accompanist and The Passenger did receive the ticket by e-mail. The ticket is showing a â€˜â€™Yâ€™â€™ class. The accompanist called Singapore Airlines on the 19th of September as well to confirm that the class showing on the ticket was an eligible fare for miles accumulation. The agent at Singapore Airlines said ''Yes''. The accompanist ensured on both ways during the checking process that Singapore Airline had the Aeroplan number of The Passenger for miles accumulation. The Agent in Singapore as well as the agent in Male, Maldives, confirms that: â€˜â€™yes she would get her milesâ€™â€™. The Passenger only book this flight with Singapore Airline because she would get her miles in her Aeroplan account. On October 7th 2011, The accompanist Called Aeroplan to confirm they would send a request to Singapore airlines to add the miles because they where not reflecting in The Passengerâ€™s account.  On October 17th 2011, The accompanist called both Aeroplan and Singapore Airline to make sure the request was handled properly and the points will get in her account. Both companies said they would take care of it. The accompanist also send an e-mail to Singapore Airlines. On October the 21st 2011, Mr. Guillaume The accompanist call Aeroplan. Aeroplan answer him that Singapore Airlines refuse to give the points and they did not understand as it was a â€˜â€™Yâ€™â€™ class. They said they would send a request again because The Passenger should get her miles credited in her account. The accompanist then wrote an e-mail to Singapore Airline again. Singapore responded by saying it was not booked on a â€˜â€™Yâ€™â€™ class. They said that it was a system glitch and it was showing Y class at the time of booking but in their hands, it was not a â€˜â€™Yâ€™â€™ class. He also wrote to Star Alliance about the issue but star alliance said that they are not related to the booking of airline nor miles programs. Singapore denies their responsibilities. Aeroplan said I should call Air Canada because they handle the Program, Air Canada stays unresponsive. After many communication between all parties, there Is no solutions. The Passenger will not achieve her Gold Status Early recognition for this year and neither for next year because she did not get the miles from Singapore Airlines in her Aeroplan Account. Very Sad :( To top the story, they have lost one of the luggage and and the food was very bad. Do not order special meal.","Product Review"
2012-08-15,"OK",6,"I flew economy to Singapore on one of the older Boeing 747s and its age was starting to show on the interior. The screen wasn't great and the controls were difficult to use. We flew back on a smaller Boeing which was newer and consequently the in-flight entertainment experience was more positive - better screen, better controls. Having done my research, I found the cheapest price on their own website www.singaporeair.com. As I was paying for the ticket however, the website started ""experiencing problems"" and crashed in the middle of the transaction - I paid for a ticket but wasn't issued with one. Long story short, I had to wait three days for the money to reverse back onto my card and had to use money I allocated for other expenses to get my ticket while I waited for the money to make it back onto my card. Every time I called up their ticketing office, I spoke to a different person and had to repeat my story each time which was very frustrating. I was put on hold several times for lengthy periods. Apart from that, the in-flight experience was relatively pleasant. The staff are attentive to your requests and there were no problems with the flight itself.","Product Review"
2012-07-19,"Delayed flight",10,"No doubt every every passenger expects a certain level of service when flying but its when something exceptional occurs that a real challenge might occur. I was on a Singapore Airline flight out of Singapore on July 11th to Perth, Western Australia. We were scheduled to depart at about 1.10am and did so soon after. A breakfst was served well into the flight, but our srrival in Perth was delayed by fog. Perth's airport was closed and we were diverted to Learmonth where the aircraft had to refuel. Some hours later we set off again, to arrive in Perth several hours after the scheduled time.  My comment a vote of thanks to the cabin staff for . despite being on their feet doing their best to serve the passengers for all those extra hours, they continued to offer courteous service while maintaning a friendly demeanour. Thanks is tendered. .","Product Review"
2012-07-16,"Good Customer Service, Professional but expensive",8,"If you have money, use this airline since they have good customer service, food are pretty good and when things go wrong eg. your luggage got sent off to different country, they would at least provide some compensation money until your luggage is recovered (happened to my family once on a tour to Europe).","Product Review"
2012-06-07,"Excellent",10,"This is a great airline with outstanding service. I fly Singapore Airlines about once a year for business trips to Asia and find them superior to Qantas on the routes I take; not only that, but their fares are often less. Checking in at Brisbane or in Singapore is a breeze. Their food is good and the entertainment system is OK.","Product Review"
